fecha,value
2023-04-05 15:40:30,4571.3513
2023-04-05 15:40:31,4571.3493
2023-04-05 15:40:39,4571.3433
2023-04-05 15:40:50,4571.3413
2023-04-05 15:40:55,4571.3402
2023-04-05 15:40:57,4571.3391
2023-04-05 15:40:58,4571.3381
2023-04-05 15:41:06,4571.3373
2023-04-05 15:41:54,4571.3367
2023-04-05 15:42:33,4571.3353
2023-04-05 15:43:22,4571.3343
2023-04-05 15:43:24,4571.3093
2023-04-05 15:43:34,4571.3032
2023-04-05 15:44:56,4571.2995
2023-04-05 15:45:03,4571.2982
2023-04-05 15:45:18,4571.2973
2023-04-05 15:45:20,4571.2966
2023-04-05 15:45:22,4571.2964
2023-04-05 15:45:31,4571.2947
2023-04-05 15:46:00,4571.2965
2023-04-05 15:46:48,4571.2964
2023-04-05 15:47:01,4571.2948
2023-04-05 15:47:03,4571.2949
2023-04-05 15:47:04,4571.2952
2023-04-05 15:48:43,4571.2955
2023-04-05 15:48:47,4571.2958
2023-04-05 15:48:48,4571.2963
2023-04-05 15:48:49,4571.3045
2023-04-05 15:48:52,4571.3054
2023-04-05 15:48:53,4571.3064
2023-04-05 15:49:08,4571.3068
2023-04-05 15:50:29,4571.3024
2023-04-05 15:50:31,4571.3003
2023-04-05 15:50:35,4571.2981
2023-04-05 15:50:36,4571.2959
2023-04-05 15:50:38,4571.2888
2023-04-05 15:50:44,4571.2867
2023-04-05 15:51:04,4571.2851
2023-04-05 15:51:05,4571.2821
2023-04-05 15:51:06,4571.28
2023-04-05 15:51:07,4571.2788
2023-04-05 15:51:17,4571.2743
2023-04-05 15:51:23,4571.2728
2023-04-05 15:51:24,4571.2698
2023-04-05 15:51:31,4571.2684
2023-04-05 15:51:40,4571.2669
2023-04-05 15:51:41,4571.2654
2023-04-05 15:52:46,4571.2621
2023-04-05 15:52:47,4571.2609
2023-04-05 15:52:48,4571.2597
2023-04-05 15:52:49,4571.2573
2023-04-05 15:53:18,4571.2556
